SEED	BIGG	KEGG	byocyc	name
rxn02312_c0	['BIO3', 'AMAOTr', 'AMAOT']	R03231	['META:DAPASYN-RXN.c', 'META:DAPASYN-RXN']	S-Adenosyl-L-methionine:8-amino-7-oxononanoate aminotransferase_c0
rxn08025_c0	AB6PGH	NULL	NULL	Arbutin 6-phosphate glucohydrolase_c0
rxn02895_c0	['ADE5_7_1', 'PRAGSr', 'PRAGS']	R04144	['META:GLYRIBONUCSYN-RXN', 'META:GLYRIBONUCSYN-RXN.c']	5-Phospho-D-ribosylamine:glycine ligase (ADP-forming)_c0
rxn07295_c0	NULL	R07463	NULL	glycine oxidase_c0
rxn10283_c0	NULL	NULL	NULL	isoheptadecanoyl-UDP-glucosyltransferase (monoglucosyl)_c0
rxn02934_c0	['ECOAH9ir', 'ECOAH9']	R04204	['META:TIGLYLCOA-HYDROXY-RXN.c', 'META:TIGLYLCOA-HYDROXY-RXN.m', 'META:TIGLYLCOA-HYDROXY-RXN']	(2S,3S)-3-Hydroxy-2-methylbutanoyl-CoA hydro-liase_c0
rxn08089_c0	AGPAT181	NULL	NULL	1-octadec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C18:1)_c0
rxn07688_c0	NULL	R07898	NULL	R07898_c0
rxn02508_c0	['PRAI', 'PRAIi', 'TRP1']	R03509	['META:PRAISOM-RXN.c', 'META:PRAISOM-RXN']	N-(5-Phospho-beta-D-ribosyl)anthranilate ketol-isomerase_c0
rxn05442_c0	NULL	NULL	NULL	11-methyl-trans-dodec-2-enoyl-ACP:NAD+ oxidoreductase (A-specific)_c0
rxn00543_c0	ALCD2x	R00754	['META:ALCOHOL-DEHYDROG-RXN.c', 'META:ALCOHOL-DEHYDROG-RXN', 'META:ALCOHOL-DEHYDROGENASE-NADP+-RXN.c.metaexp.ACETALD_ETOH_NAD_NADH']	ethanol:NAD+ oxidoreductase_c0
rxn01996_c0	MME	R02765	META:METHYLMALONYL-COA-EPIM-RXN.c	Methylmalonyl-CoA epimerase_c0
rxn00428_c0	NULL	R00603	['META:DICHLOROMETHANE-DEHALOGENASE-RXN', 'META:DICHLOROMETHANE-DEHALOGENASE-RXN.c']	"dichloromethane chloride-lyase (adding H2O; chloride-hydrolysing; formaldehyde-forming)_c0"
rxn09992_c0	['6PHBG', 'S6PG']	NULL	NULL	6-phospho-beta-glucosidase_c0
rxn10340_c0	NULL	NULL	NULL	isopentadecanoyl-cardiolipin synthase_c0
rxn06205_c0	NULL	R02646	['META:URATE-RIBONUCLEOTIDE-PHOSPHORYLASE-RXN', 'META:URATE-RIBONUCLEOTIDE-PHOSPHORYLASE-RXN.c']	urate-3-ribonucleoside:phosphate D-ribosyltransferase_c0
rxn04045_c0	NULL	R05807	META:4.99.1.3-RXN.c	sirohydrochlorin cobalt-lyase_c0
rxn10253_c0	NULL	NULL	NULL	isoheptadecanoyl-Diacylglycerol kinase_c0
rxn10207_c0	NULL	NULL	NULL	isotetradecanoyl-glycerol-3-phosphate O-acyltransferase_c0
rxn10221_c0	NULL	NULL	NULL	anteisoheptadecanoyl-phosphatidate cytidylyltransferase_c0
rxn02792_c0	NULL	NULL	NULL	gamma-glutamyltranspeptidase family protein_c0
rxn05451_c0	NULL	NULL	NULL	12-methyl-tetra-decanoyl-ACP:[acyl-carrier-protein] transferase_c0
rxn08935_c0	MLTG4	NULL	META:RXN-14282	Maltodextrin glucosidase (maltohexaose)_c0
rxn02804_c0	['KAT7', 'ACACT7p', 'ACACT7r']	R03991	['META:2.3.1.155-RXN.c', 'META:RXN-16560', 'META:2.3.1.155-RXN']	myristoyl-CoA:acetylCoA C-myristoyltransferase_c0
rxn05005_c0	NULL	R07237	['META:UROPORIIIMETHYLTRANSA-RXN', 'META:UROPORIIIMETHYLTRANSA-RXN.c']	S-adenosyl-L-methionine:uroporphyrinogen-III C-methyltransferase_c0
rxn00160_c0	['ME1x_D', 'MALDDH']	R00215	['META:1.1.1.83-RXN', 'META:1.1.1.83-RXN.c']	(R)-Malate:NAD+ oxidoreductase (decarboxylating)_c0
rxn02795_c0	NULL	R03975	NULL	Glycochenodeoxycholate amidohydrolase_c0
rxn10203_c0	NULL	NULL	NULL	myristoyl-glycerol-3-phosphate O-acyltransferase_c0
rxn00048_c0	NULL	R00066	['META:RIBOFLAVIN-SYN-RXN', 'META:RIBOFLAVIN-SYN-RXN.c']	6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase_c0
rxn07876_c0	NULL	R08087	NULL	R08087_c0
rxn12191_c0	NULL	R08558	['META:RXN-12582.c', 'META:RXN-12582']	R08558_c0
rxn05231_c0	['RNDR1', 'RNDR1n', 'RIBRB12']	R02017	NULL	2'-Deoxyadenosine 5'-diphosphate:oxidized-thioredoxin 2'-oxidoreductase_c0
rxn09200_c0	PSD160	NULL	NULL	Phosphatidylserine decarboxylase (n-C16:0)_c0
rxn00283_c0	['ALARi', 'ALAR']	R00401	['META:ALARACECAT-RXN', 'META:ALARACECAT-RXN.c', 'META:ALARACECAT-RXN.p']	alanine racemase_c0
rxn00726_c0	ANS2	R00985	NULL	"chorismate pyruvate-lyase (amino-accepting; anthranilate-forming)_c0"
rxn01847_c0	TARTRDH2	R02545	['META:RXN-8643.c', 'META:RXN-8643']	meso-tartaric acid:NAD+ oxidoreductase_c0
rxn00184_c0	['GDH3', 'GDH1']	R00248	['META:GLUTAMATE-DEHYDROGENASE-NADP+-RXN.c.metaexp.NADP_NADPH', 'META:GLUTDEHYD-RXN.c']	L-Glutamate:NADP+ oxidoreductase (deaminating)_c0
rxn00379_c0	['MET3', 'SADT', 'SADT1r']	R00529	['META:SULFATE-ADENYLYLTRANS-RXN', 'META:SULFATE-ADENYLYLTRANS-RXN.c', 'META:SULFATE-ADENYLYLTRANS-RXN.d']	ATP:sulfate adenylyltransferase_c0
rxn00436_c0	TDP	R00615	['META:RXN0-3542', 'META:RXN0-3542.c']	Thiamin diphosphate phosphohydrolase_c0
rxn02155_c0	['NNATm', 'YLR328W_1', 'YLR328W_2', 'NNATr', 'NNAT']	R03005	['META:NICONUCADENYLYLTRAN-RXN', 'META:NICONUCADENYLYLTRAN-RXN.c']	ATP:nicotinamide-nucleotide adenylyltransferase_c0
rxn05549_c0	NULL	NULL	META:3.6.3.17-RXN.ce.metaexp.2-DEOXYRIBOSE_2-DEOXYRIBOSE	monosaccharide-transporting ATPase_c0
rxn05378_c0	NULL	NULL	NULL	12-methyl-trans-tetra-dec-2-enoyl-ACP:NADP+ oxidoreductase (A-specific)_c0
rxn02187_c0	NULL	R03052	NULL	2-Acetolactate methylmutase_c0
rxn02866_c0	MBCOAi	R04095	NULL	3-methylbutanoyl-CoA:(acceptor) 2,3-oxidoreductase_c0
rxn02228_c0	NULL	R03104	NULL	3-Mercaptolactate:NAD+ oxidoreductase_c0
rxn01754_c0	NULL	R02430	['META:ERYTHRITOL-KINASE-RXN.c', 'META:ERYTHRITOL-KINASE-RXN']	ATP:erythritol 4-phosphotransferase_c0
rxn08552_c0	G3PAT181	NULL	NULL	glycerol-3-phosphate acyltransferase (C18:1)_c0
rxn05170_c0	['MALTabcpp', 'MALTabc']	NULL	NULL	TRANS-RXNAVI-26732.ce.brachyexp.CPD-3609_c0
rxn02475_c0	RIB7_1	R03459	META:RIBOFLAVINSYNDEAM-RXN.c	2,5-Diamino-6-hydroxy-4-(5-phosphoribosylamino)-pyrimidine 2-aminohydrolase_c0
rxn00575_c0	['SUC2', 'SUCRe', 'SUCR', 'SUCH']	['R06087', 'R00801']	NULL	sucrose glucohydrolase_c0
rxn05339_c0	HBUR1	R04533	NULL	(3R)-3-Hydroxybutanoyl-[acyl-carrier protein]:NADP+ oxidoreductase_c0
rxn05460_c0	NULL	NULL	NULL	3-Oxooctodecanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)_c0
rxn03108_c0	['THI20_2', 'PMPK']	R04509	['META:PYRIMSYN3-RXN', 'META:PYRIMSYN3-RXN.c']	ATP:4-amino-2-methyl-5-phosphomethylpyrimidine phosphotransferase_c0
rxn10313_c0	NULL	NULL	NULL	isopentadecanoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted_c0
rxn07449_c0	NULL	R07633	NULL	3-sulfolactate bisulfite-lyase_c0
rxn00675_c0	NULL	R00926	NULL	Propionyladenylate:CoA propionyltransferase_c0
rxn01018_c0	['ASPCTn', 'URA2_1', 'ASPCT']	R01397	META:ASPCARBTRANS-RXN.c	carbamoyl-phosphate:L-aspartate carbamoyltransferase_c0
rxn04132_c0	NULL	R06063	NULL	R06063_c0
rxn00714_c0	NULL	R00969	NULL	P1,P4-bis(5'-uridyl)-tetraphosphate uridylohydrolase_c0
rxn11544_c0	NULL	NULL	NULL	Hydrogenobyrinate<=>Hydrogenobyrinate a,c diamide_c0
rxn05602_c0	['L-LACt4', 'L-LACt2r', 'L-LACt2', 'L_LACt2r', 'L-LACtm', 'L-LACt2rpp']	NULL	META:TRANS-RXN-104	L-lactate reversible transport via proton symport_c0
rxn05506_c0	NULL	NULL	NULL	Arsenate transporter_c0
rxn00124_c0	['U83', 'PYDXK']	R00174	['META:PYRIDOXKIN-RXN', 'META:PYRIDOXKIN-RXN.c']	ATP:pyridoxal 5'-phosphotransferase_c0
rxn10219_c0	NULL	NULL	NULL	isohexadecanoyl-1-acylglycerol-3-phosphate O-acyltransferase_c0
rxn03990_c0	NODOx	R05724	META:R621-RXN.c.metaexp.NAD_NADH	nitric oxide, NAD(P)H2:oxygen oxidoreductase_c0
rxn03514_c0	PC11M	R05181	['META:2.1.1.133-RXN.c', 'META:2.1.1.133-RXN']	S-adenosyl-L-methionine:precorrin-4 C11 methyltransferase_c0
rxn08793_c0	['L_LACD3', 'L-LACD3']	NULL	NULL	L-Lactate dehydrogenase (menaquinone)_c0
rxn00947_c0	['FAT1_1', 'FACOAL160', 'FAA4_1', 'FACOAL160p', 'FAA1_3', 'FAA3_1']	R01280	['META:RXN-7904.x.metaexp.PALMITATE_PALMITYL-COA', 'META:RXN-7904.m.metaexp.PALMITATE_PALMITYL-COA', 'META:RXN-9623.c', 'META:RXN-7904.d.metaexp.PALMITATE_PALMITYL-COA', 'META:RXN-9623', 'META:RXN-7904.c.metaexp.PALMITATE_PALMITYL-COA', 'META:RXN-7904.v.metaexp.PALMITATE_PALMITYL-COA']	Palmitate:CoA ligase (AMP-forming)_c0
rxn03247_c0	ECOAH3	R04746	NULL	(S)-Hydroxyoctanoyl-CoA hydro-lyase_c0
rxn10210_c0	NULL	NULL	NULL	isohexadecanoyl-glycerol-3-phosphate O-acyltransferase_c0
rxn00278_c0	NULL	R00396	META:ALANINE-DEHYDROGENASE-RXN.c	L-Alanine:NAD+ oxidoreductase (deaminating)_c0
rxn00205_c0	['GSHPO', 'GPX1', 'GPX2', 'GTHP', 'GTHPm', 'GTHPe', 'HYR1']	R00274	META:GLUTATHIONE-PEROXIDASE-RXN.c	glutathione:hydrogen-peroxide oxidoreductase_c0
rxn00440_c0	['THI80_1', 'TMDPK']	R00619	['META:THIAMIN-PYROPHOSPHOKINASE-RXN', 'META:THIAMIN-PYROPHOSPHOKINASE-RXN.c']	ATP:thiamine diphosphotransferase_c0
rxn02576_c0	NULL	R03607	['META:VIOMYCIN-KINASE-RXN.c', 'META:VIOMYCIN-KINASE-RXN']	ATP:viomycin O-phosphotransferase_c0
rxn02789_c0	['IPPMIb', 'LEU1_2']	R03968	['META:3-ISOPROPYLMALISOM-RXN.c', 'META:3-ISOPROPYLMALISOM-RXN']	2-Isopropylmalate hydro-lyase_c0
rxn03666_c0	NULL	R05365	['META:RXN-11543.c', 'META:RXN-11543']	2-hydroxy-6-oxo-(2'-aminophenyl)-hexa-2,4-dienoate benzoylhydrolase_c0
rxn01370_c0	NULL	R01880	NULL	dGTP:uridine 5'-phosphotransferase_c0
rxn07099_c0	BLACT	R06363	NULL	Penicillin hydrolase_c0
rxn00988_c0	ACAC	R01357	['META:ACETOACETATE--COA-LIGASE-RXN.c', 'META:ACETOACETATE--COA-LIGASE-RXN']	Acetoacetate:CoA ligase (AMP-forming)_c0
rxn01600_c0	NULL	R02233	META:CYCLOHEXYLAMINE-OXIDASE-RXN.c	Cyclohexylamine:oxygen oxidoreductase (deaminating)_c0
rxn05455_c0	NULL	NULL	NULL	12-methyl-tridecanoyl-ACP:[acyl-carrier-protein] transferase_c0
rxn01506_c0	['AMANAPE', 'AMANAPEr']	R02087	['META:NANE-RXN.c', 'META:NANE-RXN']	N-Acetyl-D-glucosamine 6-phosphate 2-epimerase_c0
rxn00410_c0	['URA7_2', 'URA8_2']	R00571	NULL	UTP:ammonia ligase (ADP-forming)_c0
rxn03063_c0	['SAM24MT', 'ERG6']	R04427	['META:RXN3O-178.c', 'META:RXN3O-178']	S-Adenosyl-L-methionine:zymosterol C-methyltransferase_c0
rxn01333_c0	TALA	['R01827', 'R08575']	META:TRANSALDOL-RXN.c	sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase_c0
rxn10257_c0	NULL	NULL	NULL	anteisopentadecanoyl-Diacylglycerol kinase_c0
rxn06586_c0	NULL	R04097	NULL	3-methylbutanoyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-(3-methylbutanoyl)transferase_c0
rxn06394_c0	NULL	['R03491', 'R05999']	NULL	R03491_c0
rxn12510_c0	['YDR531W', 'PNTK']	R03018	META:PANTOTHENATE-KIN-RXN.c	ATP:pantothenate 4'-phosphotransferase_c0
rxn03933_c0	UAGPT2	R05662	NULL	UDP-N-acetyl-D-glucosamine:N-acetyl-alpha-D-muramyl(oyl-L-Ala-gamma-D-Glu-L-Lys-D-Ala-D-Ala)-diphosphoundecaprenol 4-beta-N-acetylglucosaminlytransferase_c0
rxn04780_c0	NULL	R06971	META:RXN-8019.c	R06971_c0
rxn07684_c0	NULL	R07894	NULL	R07894_c0
rxn05342_c0	['HTDR6', '3OAR140']	R04566	['META:RXN-9536.c', 'META:RXN-9536']	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase_c0
rxn00333_c0	['GLYCTO1', 'GLYCTO10']	R00475	['META:RXN-969', 'META:RXN-969.d', 'META:RXN-969.c']	Glycolate:oxygen 2-oxidoreductase_c0
rxn05737_c0	FDMO4	NULL	META:RXN0-6973.c	RXN0-6973.c_c0
rxn00414_c0	['CBPS', 'CBPSn']	R00575	['META:CARBPSYN-RXN', 'META:CARBPSYN-RXN.c']	hydrogen-carbonate:L-glutamine amido-ligase (ADP-forming, carbamate-phosphorylating)_c0
rxn09110_c0	PGSA141	NULL	NULL	Phosphatidylglycerol synthase (n-C14:1)_c0
rxn05881_c0	NULL	R00635	NULL	Aldehyde:oxygen oxidoreductase_c0
rxn03970_c0	['COALDDH', 'CONFALDD']	R05700	META:RXN-1241.c.metaexp.NAD_NADH	Coniferyl aldehyde:NAD oxidoreductase_c0
rxn05594_c0	ISETACabcpp	NULL	NULL	Isethionate transport via ABC system_c0
rxn05349_c0	['FAS1_s', 'ACOATA', 'ACOATAm']	R01624	META:ACP-S-ACETYLTRANSFER-RXN.c	acetyl-CoA:[acyl-carrier-protein] S-acetyltransferase_c0
rxn00303_c0	GTPDPK	R00429	['META:GTPPYPHOSKIN-RXN.c', 'META:GTPPYPHOSKIN-RXN']	ATP:GTP 3'-diphosphotransferase_c0
rxn05512_c0	BUTSO3abcpp	NULL	NULL	butanesulfonate transport via ABC system_c0
rxn00799_c0	['FUM', 'FUMm', 'FUM1_1', 'FUM1_2']	R01082	['META:FUMHYDR-RXN.c', 'META:FUMHYDR-RXN.m', 'META:FUMHYDR-RXN']	(S)-malate hydro-lyase (fumarate-forming)_c0
rxn01977_c0	['PGI1_2', 'G6PI']	R02739	META:GLUCOSE-6-PHOSPHATE-1-EPIMERASE-RXN.c	alpha-D-Glucose 6-phosphate ketol-isomerase_c0
rxn11585_c0	NULL	R04011	NULL	L-Glutamine:D-glutamyl-peptide 5-glutamyltransferase_c0
rxn01073_c0	['GPDDA2pp', 'GPDDA2']	R01470	META:RXN-14160	sn-Glycero-3-phosphoethanolamine glycerophosphohydrolase_c0
rxn02405_c0	['KDOCT', 'KDOCT2', 'DMOCT']	R03351	META:CPM-KDOSYNTH-RXN.c	CTP:3-deoxy-D-manno-octulosonate cytidylyltransferase_c0
rxn00011_c0	NULL	R00014	['META:RXN-12583.c', 'META:RXN-12583']	pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating)_c0
rxn07430_c0	NULL	R07599	NULL	R07599_c0
rxn01986_c0	PPM2	R02749	NULL	2-deoxy-D-ribose 1-phosphate 1,5-phosphomutase_c0
rxn02200_c0	['DHPSm', 'DHPS']	R03066	META:RXN-14226	2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine:4-aminobenzoate 2-amino-4-hydroxydihydropteridine-6-methenyltransferase_c0
rxn00602_c0	['MMM2', 'MMM']	R00833	['META:METHYLMALONYL-COA-MUT-RXN.m', 'META:METHYLMALONYL-COA-MUT-RXN', 'META:METHYLMALONYL-COA-MUT-RXN.c']	(R)-Methylmalonyl-CoA CoA-carbonylmutase_c0
rxn01069_c0	['THR4_1', 'THRS']	R01466	['META:THRESYN-RXN', 'META:THRESYN-RXN.c']	"O-phospho-L-homoserine phosphate-lyase (adding water;L-threonine-forming)_c0"
rxn05528_c0	['Cut1', 'CU2abcpp', 'CU1abcpp']	NULL	['META:TRANS-RXN-178.cd', 'META:3.6.3.4-RXN.ce']	Copper-transporting ATPase_c0
rxn00791_c0	['ANPRT', 'TRP4']	R01073	['META:PRTRANS-RXN.c', 'META:PRTRANS-RXN']	N-(5-Phospho-D-ribosyl)anthranilate:pyrophosphate phosphoribosyl-transferase_c0
rxn03150_c0	['RBZP', 'RZ5PP']	R04594	['META:RIBAZOLEPHOSPHAT-RXN.c', 'META:RXN-16788']	R04594_c0
rxn05108_c0	['UNK3', 'TYRTA2']	R07396	META:RXN-14147	R07396_c0
rxn00065_c0	['CYR1', 'ADNCYC']	R00089	['META:ADENYLATECYC-RXN', 'META:ADENYLATECYC-RXN.c']	"ATP diphosphate-lyase (cyclizing; 3',5'-cyclic-AMP-forming)_c0"
rxn00365_c0	CYTDK1	R00513	['META:CYTIKIN-RXN.c', 'META:CYTIKIN-RXN']	ATP:cytidine 5'-phosphotransferase_c0
rxn04676_c0	NULL	R06861	NULL	D-xylulose-5-phosphate:thiamin diphosphate glycolaldehydetransferase_c0
rxn00358_c0	UDPGALM	R00505	META:GALPMUT-RXN.c	UDP-D-galactopyranose furanomutase_c0
rxn05181_c0	['GLYBabc', 'GLYBabcpp']	NULL	META:TRANS-RXN-283	Glycine betaine transport via ABC system_c0
rxn05312_c0	PIt2r	NULL	META:TRANS-RXN-114	Inorganic phosphate transporter_c0
rxn08975_c0	['NADH12', 'NADH5']	NULL	['META:NQOR-RXN.d.metaexp.CPD-9956_NAD_NADH_UBIQUINONE-8', 'META:NADH-DEHYDROG-A-RXN.c.metaexp.CPD-9956_UBIQUINONE-8', 'META:RXN0-5330.p.metaexp.CPD-9956_UBIQUINONE-8', 'META:NADH-DEHYDROG-A-RXN.p.metaexp.CPD-9956_UBIQUINONE-8', 'META:NQOR-RXN.c.metaexp.CPD-9956_NAD_NADH_UBIQUINONE-8', 'META:NADH-DEHYDROG-A-RXN.m.metaexp.CPD-9956_UBIQUINONE-8', 'META:RXN0-5330.c.metaexp.CPD-9956_UBIQUINONE-8']	dihydronicotinamide adenine dinucleotide-coenzyme Q reductase_c0
rxn01646_c0	['RIOR', 'PNP']	R02294	META:RXN0-7092	N-Ribosylnicotinamide:orthophosphate ribosyltransferase_c0
rxn03378_c0	NULL	R04936	NULL	Se-Adenosylselenohomocysteine hydrolase_c0
rxn00105_c0	['YLR328W_3', 'NMNATr', 'NMNATm', 'NMNAT']	R00137	['META:2.7.7.1-RXN.c', 'META:2.7.7.1-RXN']	ATP:nicotinamide-nucleotide adenylyltransferase_c0
rxn03243_c0	['KAT5', 'ACACT5p', 'ACACT5r']	R04742	META:RXN-14274	Decanoyl-CoA:acetyl-CoA C-acyltransferase_c0
rxn03446_c0	['THR4_2', '4HTHRS']	R05086	NULL	O-Phospho-4-hydroxy-L-threonine phospho-lyase (adding water)_c0
rxn01302_c0	['HSDy', 'HOM6_2', 'HSDyi']	R01775	META:HOMOSERDEHYDROG-RXN.c.metaexp.NADP_NADPH	L-homoserine:NADP+ oxidoreductase_c0
rxn08933_c0	MLTG2	NULL	META:MALTET-RXN	Maltodextrin glucosidase (maltotetraose)_c0
rxn03486_c0	HMSH3	R05138	NULL	R05138_c0
rxn00101_c0	UREA2	R00131	META:UREASE-RXN.c	Urea amidohydrolase_c0
rxn05060_c0	NULL	R07311	['META:RXN-624', 'META:RXN-624.c']	2'-hydroxybiphenyl-2-sulfinate sulfohydrolase_c0
rxn00223_c0	['XYLI2i', 'XYLI2']	R00307	NULL	D-glucose aldose-ketose-isomerase_c0
rxn05215_c0	['ALAt4', 'ALAt4r', 'ALAt4pp', 'ALAt7']	NULL	META:TRANS-RXN-125	Alanine-Sodium symporter_c0
rxn00784_c0	['DRPA', 'DRPAr']	R01066	NULL	2-deoxy-D-ribose-5-phosphate acetaldehyde-lyase (D-glyceraldehyde-3-phosphate-forming)_c0
rxn05029_c0	['CBIAT', 'CBIAT2']	R07268	META:BTUR2-RXN.c	ATP:cobinamide Cobeta-adenosyltransferase_c0
rxn00368_c0	NULL	R00516	NULL	UTP:cytidine 5'-phosphotransferase_c0
rxn05393_c0	NULL	NULL	NULL	9-methyl-3-oxo-decanoyl-ACP:NADP+ oxidoreductase_c0
rxn05354_c0	['FAS1_7_2', 'ETR1_7']	R04970	NULL	Hexadecanoyl-[acyl-carrier protein:malonyl-CoA C-acyltransferase(decarboxylating, oxoacyl- and enoyl-reducing and thioester-hydrolysing)_c0
rxn01537_c0	TMN	R02133	['META:THIAMINASE-RXN', 'META:THIAMINASE-RXN.c']	Thiamin hydrolase_c0
rxn01864_c0	NULL	R02562	META:4-AMINOBENZOATE-1-MONOOXYGENASE-RXN.c.metaexp.NADP_NADPH	4-aminobenzoate,NADPH:oxygen oxidoreductase (1-hydroxylating, decarboxylating)_c0
rxn02285_c0	UAPGR	R03192	['META:UDPNACETYLMURAMATEDEHYDROG-RXN.c', 'META:UDPNACETYLMURAMATEDEHYDROG-RXN']	UDP-N-acetylmuramate:NADP+ oxidoreductase_c0
rxn02303_c0	CPPPGO	R03220	['META:RXN0-1461.d', 'META:RXN0-1461.c', 'META:RXN0-1461']	Coproporphyrinogen:oxygen oxidoreductase(decarboxylating)_c0
rxn08936_c0	MLTG5	NULL	NULL	Maltodextrin glucosidase (maltoheptaose)_c0
rxn05315_c0	NULL	NULL	NULL	ZN2t4_c0
rxn00227_c0	ACYP_2	R00317	NULL	Acetyl phosphate phosphohydrolase_c0
rxn03047_c0	NULL	R04391	NULL	ATP:pantothenate 4'-phosphotransferase_c0
rxn02889_c0	['MCCC', 'MCCc']	R04138	['META:METHYLCROTONYL-COA-CARBOXYLASE-RXN', 'META:METHYLCROTONYL-COA-CARBOXYLASE-RXN.c']	3-Methylcrotonoyl-CoA:carbon-dioxide ligase (ADP-forming)_c0
rxn05663_c0	['GAP1_15', 'TRPt2m', 'TRPt6', 'BAP2_6', 'BAP3_6', 'TRPt2', 'TAT1_3', 'TRPt2r', 'TAT2_5', 'TRPt2rpp', 'VAP1_5']	NULL	META:TRANS-RXN-76	TRANS-RXNBWI-115637.ce.maizeexp.TRP_c0
rxn12188_c0	NULL	R08548	NULL	R08548_c0
rxn00559_c0	['PMI40', 'MAN6PI']	R00772	NULL	D-mannose-6-phosphate aldose-ketose-isomerase_c0
rxn07883_c0	NULL	R08094	NULL	3-hydroxy-5-methylhex-4-enoyl-CoA:NAD+ oxidoreductase_c0
rxn00691_c0	FTHFD	R00944	META:FORMYLTHFDEFORMYL-RXN.c	10-Formyltetrahydrofolate amidohydrolase_c0
rxn00807_c0	NULL	R01091	['META:LEUCINE-23-AMINOMUTASE-RXN.c', 'META:LEUCINE-23-AMINOMUTASE-RXN']	(2S)-alpha-leucine 2,3-aminomutase_c0
rxn06577_c0	NULL	R04074	NULL	NAD+:peptide-diphthamide N-(ADP-D-ribosyl)transferase_c0
rxn07609_c0	NULL	R07802	NULL	R07802_c0
rxn03907_c0	MEPCT	R05633	['META:2.7.7.60-RXN.c', 'META:2.7.7.60-RXN']	CTP: 2-C-Methyl-D-erythritol 4-phosphate cytidylyltransferase_c0
rxn01987_c0	['DRBKr', 'DRBK', 'RBK1_2']	R02750	NULL	R02750_c0
rxn03538_c0	['ADOCBLS', 'COBPS']	R05223	['META:COBALAMINSYN-RXN.p', 'META:COBALAMINSYN-RXN', 'META:COBALAMINSYN-RXN.c', 'META:COBALAMINSYN-RXN.e']	R05223_c0
rxn09310_c0	THZPSN	NULL	NULL	thiazole phosphate synthesis_c0
rxn02834_c0	['PRATPP', 'HIS4_1']	R04035	['META:HISTPRATPHYD-RXN.d', 'META:HISTPRATPHYD-RXN', 'META:HISTPRATPHYD-RXN.c']	Phosphoribosyl-ATP pyrophosphohydrolase_c0
rxn01213_c0	DMATT	R01658	['META:GPPSYN-RXN.d', 'META:GPPSYN-RXN', 'META:GPPSYN-RXN.c']	GPPSYN-RXN_c0
rxn03860_c0	NULL	R05575	META:RXN-905	(3S)-3-Hydroxyacyl-CoA:NAD+ oxidoreductase_c0
rxn05092_c0	DKMD2K	R07364	['META:R147-RXN.c', 'META:R147-RXN']	1,2-dihydroxy-5-(methylthio)pent-1-en-3-one:oxygen oxidoreductase (formate-forming)_c0
rxn00459_c0	['ENO2', 'ERR1_2', 'ENO1', 'ERR2', 'ENO', 'ERR1_1']	R00658	['META:2PGADEHYDRAT-RXN.d', 'META:2PGADEHYDRAT-RXN', 'META:2PGADEHYDRAT-RXN.c']	2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming)_c0
rxn02085_c0	URCN	R02914	['META:UROCANATE-HYDRATASE-RXN.c', 'META:UROCANATE-HYDRATASE-RXN']	4,5-Dihydro-4-oxo-5-imidazolepropanoate hydro-lyase_c0
rxn10274_c0	NULL	NULL	NULL	isoheptadecanoyl-UDP-glucosyltransferase (diglucosyl)_c0
rxn12851_c0	NULL	NULL	NULL	Gly-Try ABC transporters_c0
rxn02304_c0	PPPGOm	R03222	META:PROTOPORGENOXI-RXN.c	protoporphyrinogen-IX:oxygen oxidoreductase_c0
rxn00770_c0	NULL	R01049	['META:PRPPSYN-RXN', 'META:PRPPSYN-RXN.c']	ATP:D-ribose-5-phosphate diphosphotransferase_c0
rxn10334_c0	NULL	NULL	NULL	palmitoyl-cardiolipin synthase_c0
rxn01314_c0	HPDOAi	R01794	NULL	5,6,7,8-tetrahydrobiopterin:NADP+ oxidoreductase_c0
rxn05436_c0	NULL	NULL	NULL	10-methyl-trans-dodec-2-enoyl-ACP:NAD+ oxidoreductase (A-specific)_c0
rxn05195_c0	['FE3abc', 'FE3abcpp']	NULL	['META:3.6.3.30-RXN.ce', 'META:3.6.3.30-RXN']	ATP phosphohydrolase (ferric-ion-transporting)_c0
rxn05209_c0	['NAt7', 'NAt3_1', 'NAt3pp', 'NAt3', 'NHA1']	NULL	META:TRANS-RXN-101	TRANS-RXNBWI-115525.ce.maizeexp.NA+_c0
rxn06377_c0	['GCCa', 'GCCam']	R03425	NULL	glycine:lipoylprotein oxidoreductase (decarboxylating and acceptor-aminomethylating)_c0
rxn02359_c0	NULL	R03295	NULL	trans-4-Hydroxy-L-proline:(acceptor) oxidoreductase_c0
rxn10234_c0	NULL	NULL	NULL	isotetradecanoyl-phosphatidylserine decarboxylase_c0
